case, loop, trial, task-clock, context-switches, cpu-migrations, page-faults, cycles, instructions, branches, branch-misses, L1-dcache-loads,L1-dcache-load-misses, LLC-loads, LLC-load-misses, L1-icache-loads, L1-icache-load-misses, dTLB-load-misses, elapsed time, real, user, sys
out_case1,100,1,106.081354,0,0,87,63482347,58294864,5379421 79004,79004,35432118,22748,128665,251,28191367,11587,29,0.107951745,real 0m0.184s,user 0m0.124s,sys 0m0.024s
out_case1,100,10,104.652917,6,0,87,62584183,57810413,5293609 72065,72065,34922819,44850,119335,1578,26839431,5402,0,0.110939737,real 0m0.210s,user 0m0.117s,sys 0m0.031s
out_case1,100,2,104.598646,0,0,87,62576988,57853627,5334091 75172,75172,35160001,21476,118700,331,28244464,3347,25,0.106404310,real 0m0.193s,user 0m0.117s,sys 0m0.031s
out_case1,100,3,104.623646,0,0,90,62610475,57864744,5334933 74828,74828,35139547,21222,120281,132,28273854,3413,29,0.106416601,real 0m0.195s,user 0m0.107s,sys 0m0.041s
out_case1,100,4,104.525313,3,0,87,62558043,57888144,5337001 75073,75073,35160261,21639,118752,138,28237672,3725,23,0.106438007,real 0m0.185s,user 0m0.096s,sys 0m0.050s
out_case1,100,5,106.344636,3,0,88,63625337,58292626,5377303 79895,79895,35404082,22928,130902,490,28150277,11045,25,0.108323354,real 0m0.185s,user 0m0.127s,sys 0m0.022s
out_case1,100,6,106.024480,0,0,87,63450128,58321523,5382352 78902,78902,35438806,22855,130359,244,28173661,11446,43,0.107892368,real 0m0.179s,user 0m0.118s,sys 0m0.030s
out_case1,100,7,103.819896,0,0,91,62106810,57639506,5304256 71027,71027,35065508,21772,119545,416,28443373,2859,42,0.105754783,real 0m0.175s,user 0m0.125s,sys 0m0.020s
out_case1,100,8,106.200469,0,0,90,63555086,58305051,5381247 78955,78955,35425084,22856,131312,185,28187158,11065,41,0.107981638,real 0m0.197s,user 0m0.118s,sys 0m0.030s
out_case1,100,9,106.859219,5,1,87,63889727,56413586,5047887 81156,81156,16261414,20976,179438,2418,31990618,16993,156,0.116783747,real 0m0.190s,user 0m0.109s,sys 0m0.040s
out_case1,1600,1,24257.096442,646,2,89,14517230162,14473596985,1317979304 3231716,3231716,9187616832,140010,1155246,45422,7934407490,770375,148,24.291159430,real 0m24.379s,user 0m24.243s,sys 0m0.061s
out_case1,1600,10,24143.604708,122,0,87,14509200600,14465780349,1316810755 3211802,3211802,9195592498,100670,996159,55094,7939422211,666272,2,24.152437746,real 0m24.270s,user 0m24.156s,sys 0m0.030s
out_case1,1600,2,24302.624248,352,4,87,14545238158,14456809446,1317360399 3383281,3383281,9201381683,173943,1492345,77728,7946415997,987471,256,24.356837848,real 0m24.465s,user 0m24.296s,sys 0m0.051s
out_case1,1600,3,24259.854330,716,1,90,14509216645,14470840024,1317978150 3224936,3224936,9202213128,159120,1312768,67612,7916861209,767838,54,24.294702074,real 0m24.401s,user 0m24.236s,sys 0m0.070s
